,title,linkJobs,jobType,proposals,skillset,budget
0,Enabling in Web Scraping with Python via hands-on projects,https://www.upwork.com/jobs/Enabling-Web-Scraping-with-Python-via-hands-projects_~0111aeeac934dde42a/,Hourly,Less than 5,"['Selenium', 'Automation', 'Python Script', 'Data Extraction', 'API', 'Scrapy', 'Business with 1-9 Employees', 'Web Crawling', 'Web Scraping', 'Python', 'Lead Generation', 'Data Mining', 'Data Scraping']",unknown
1,Create application for autoquiz solver,https://www.upwork.com/jobs/Create-application-for-autoquiz-solver_~01ba1a2ed42031c7a3/,Fixed-price,5 to 10,"['Software Design', 'Desktop Application', 'Standalone Application']","
        $800
      "
2,Build web crawler using Puppeteer and Python,https://www.upwork.com/jobs/Build-web-crawler-using-Puppeteer-and-Python_~01dfbccee3867091c8/,Fixed-price,10 to 15,"['Selenium', 'Automation', 'Python', 'Data Scraping', 'Web Crawling']","
        $300
      "
3,Java  JUnit and Selenium  project ,https://www.upwork.com/jobs/Java-JUnit-and-span-Selenium-span-project_~01295bf0024234f46f/,Fixed-price,10 to 15,"['Selenium', 'Selenium WebDriver', 'Java', 'Automated Testing', 'JUnit']","
        $100
      "
4,Build an arbitrage bot on the Ethereum block chain,https://www.upwork.com/jobs/Build-arbitrage-bot-the-Ethereum-block-chain_~010e02d43b8fe04a45/,Hourly,5 to 10,"['Browser Automation', 'Selenium', 'Automation', 'Data Scraping', 'Python', 'Node.js', 'Artificial Intelligence', 'Solidity', 'web3.js', 'MongoDB', 'Blockchain Development', 'DApps', 'Blockchain', 'Software Development', 'Blockchain, NFT & Cryptocurrency']",unknown
5,Custom Data Extraction/Scraping from Sports book ,https://www.upwork.com/jobs/Custom-Data-Extraction-Scraping-from-Sports-book_~019ab9a82ddc3e5a82/,Hourly,10 to 15,"['Selenium', 'Automation', 'Database Architecture', 'OCR Algorithm', 'Dashboard', 'Bot Development', 'ETL', 'Data Scraping', 'Chatbot Development', 'Spring Framework', 'Data Extraction', 'Scrapy', 'Web Crawling', 'Java', 'Python']",unknown
6,Need web scraping and Amazon api expert ,https://www.upwork.com/jobs/Need-web-scraping-and-Amazon-api-expert_~016d3491df57e539fc/,Hourly,5 to 10,"['Selenium', 'Automation', 'Data Extraction', 'Screen Scraping', 'Web Scraping', 'Beautiful Soup', 'Data Scraping', 'Python', 'API', 'Scrapy']",$5-$10
7,Python Programme Code and Microsoft Excel Macros,https://www.upwork.com/jobs/Python-Programme-Code-and-Microsoft-Excel-Macros_~018f946cd013de7cd2/,Fixed-price,10 to 15,"['Selenium', 'Microsoft Excel', 'Visual Basic for Applications', 'Python', 'pandas']","
        $60
      "
8,Create Photoshop Plugin with Licensing Key,https://www.upwork.com/jobs/Create-Photoshop-Plugin-with-Licensing-Key_~010484cc74b70d062a/,Fixed-price,5 to 10,"['Automation', 'Selenium', 'Dashboard', 'Python', 'PHP', 'JavaScript', 'Adobe Photoshop']","
        $400
      "
9,Build Python Program (Pandas - API - Storage - Logging),https://www.upwork.com/jobs/Build-Python-Program-Pandas-API-Storage-Logging_~01f543e16d1b716305/,Hourly,20 to 50,"['Automation', 'API Integration', 'Scripting', 'Google Sheets', 'Python', 'Python Script', 'API', 'pandas']",$20-$42
